nombre,precio_actual,precio_anterior,descuento_porcentaje,ubicacion_vendedor,cuotas,envio_gratis,enlace,categoria,fecha_extraccion
"Laptop Hp 250 G10 15.6 Fhd, Intel Core I5 13va Gen, 32gb Ram, 1tb Ssd, Windows 11 Home, Color Plata Teclado Retroiluminado Español.",15659.0,,0,,24,1,https://www.mercadolibre.com.mx/laptop-hp-250-g10-156-fhd-intel-core-i5-13va-gen-32gb-ram-1tb-ssd-windows-11-home-color-plata-teclado-retroiluminado-espanol/p/MLM61641091,Laptops,2026-02-20 15:00:41
Laptop Lenovo Ideapad Celeron 4gb + 128ssd + Office Regalo Color Gris,4379.0,,0,,15,0,https://www.mercadolibre.com.mx/laptop-lenovo-ideapad-celeron-4gb-128ssd-office-regalo-color-gris/p/MLM27986873,Laptops,2026-02-20 15:00:41
Laptop Gamer HP Victus NVIDIA GeForce RTX 3050 Intel Core i5 8GB RAM 512GB SSD Windows 11 Home,11789.0,14189.0,17,,3,1,https://www.mercadolibre.com.mx/laptop-gamer-hp-victus-nvidia-geforce-rtx-3050-intel-core-i5-8gb-ram-512gb-ssd-windows-11-home/p/MLM50283172,Laptops,2026-02-20 15:00:41
Caderno Vintage Diário De Desenho Grosso Extra Nuevo,134.0,,0,Envío desde China,0,0,https://www.mercadolibre.com.mx/caderno-vintage-diario-de-desenho-grosso-extra-nuevo/p/MLM2062649101,Laptops,2026-02-20 15:00:41
Asus Vivobook 16 Wuxga I9-13900h 16g Ram 1tb Ssd,14858.0,,0,Envío desde USA,15,1,https://www.mercadolibre.com.mx/asus-vivobook-16-wuxga-i9-13900h-16g-ram-1tb-ssd/p/MLM55741229,Laptops,2026-02-20 15:00:41
"Laptop Lenovo Ideapad Slim 3 15iah8 15.6 Fhd Touch, Intel Core I5, 8gb Ram, 512gb Ssd, Dolby Audio, Windows 11 Gris - Teclado Español.",10855.0,,0,,24,0,https://www.mercadolibre.com.mx/laptop-lenovo-ideapad-slim-3-15iah8-156-fhd-touch-intel-core-i5-8gb-ram-512gb-ssd-dolby-audio-windows-11-gris-teclado-espanol/p/MLM51569723,Laptops,2026-02-20 15:00:41
"Laptop Hyundai Hyflip, 14.1, 4gb Ram, 64gb, Win 10 Hs, Silv Color Plateado",3499.0,,0,,15,1,https://www.mercadolibre.com.mx/laptop-hyundai-hyflip-141-4gb-ram-64gb-win-10-hs-silv-color-plateado/p/MLM25654203,Laptops,2026-02-20 15:00:41
HP Pink Stream 14-ep2011 Intel N150 4 GB Ram 128 GB Ufs Incluye Windows 11 Instalado Pantalla 14 Laptop Rosa Con Regalo,4723.0,8647.0,45,,24,0,https://www.mercadolibre.com.mx/hp-pink-stream-14-ep2011-intel-n150-4-gb-ram-128-gb-ufs-incluye-windows-11-instalado-pantalla-14-laptop-rosa-con-regalo/p/MLM53196537,Laptops,2026-02-20 15:00:41
Laptop Lenovo Thinkpad T14 Core I5 Ram 16gb Ssd 512gb W11p Color Negro,19673.0,26950.0,27,,15,0,https://www.mercadolibre.com.mx/laptop-lenovo-thinkpad-t14-core-i5-ram-16gb-ssd-512gb-w11p-color-negro/p/MLM36436950,Laptops,2026-02-20 15:00:41
Notebook Asus Tuf A16 16 Fhd 512gb / 16gb Ram Ryzen 7-7445hs Rtx4050 - Mecha Gray,16638.0,,0,Envío desde USA,15,1,https://www.mercadolibre.com.mx/notebook-asus-tuf-a16-16-fhd-512gb-16gb-ram-ryzen-7-7445hs-rtx4050-mecha-gray/p/MLM61511567,Laptops,2026-02-20 15:00:41
"Notebook EliteBook 845 G8 14"" plateado 256GB SSD - AMD Ryzen 5 - Excelente (Reacondicionado)",4652.0,11242.0,59,Envío desde USA,15,1,https://www.mercadolibre.com.mx/notebook-elitebook-845-g8-14-plateado-256gb-ssd-amd-ryzen-5-excelente-reacondicionado/p/MLM2020089212,Laptops,2026-02-20 15:00:41
Laptop Lenovo Legión Slim 5 16arp9 16 7435hs Rtx 4060 16gb Color Gris,27699.0,39999.0,31,,24,0,https://www.mercadolibre.com.mx/laptop-lenovo-legion-slim-5-16arp9-16-7435hs-rtx-4060-16gb-color-gris/p/MLM43487977,Laptops,2026-02-20 15:00:41
Gigabyte Aorus Master Ultra 9 275hx Rtx 5090 2tb Ssd 32gb Azul Marea,165869.0,174599.0,5,,12,1,https://www.mercadolibre.com.mx/gigabyte-aorus-master-ultra-9-275hx-rtx-5090-2tb-ssd-32gb-azul-marea/p/MLM62642862,Laptops,2026-02-20 15:00:41
"Notebook Gaming Victus 15-fa2018la, ic I5 8gb Ram nvidia",26999.0,,0,,12,1,https://www.mercadolibre.com.mx/notebook-gaming-victus-15-fa2018laic-i58gb-ramnvidia/p/MLM63337667,Laptops,2026-02-20 15:00:41
