nombre,precio_actual,precio_anterior,descuento_porcentaje,ubicacion_vendedor,cuotas,envio_gratis,enlace,categoria,fecha_extraccion
Motorola Moto G75 256gb 8gb Gris Certificación Militar,3725.0,4188.0,11,,15,0,https://www.mercadolibre.com.mx/motorola-moto-g75-256gb-8gb-gris-certificacion-militar/p/MLM45258398,Celulares,2026-02-20 15:00:49
"Uleway Teléfono Móvil Para Adultos Mayores, 4g Lte, Botón Sos, Botones Grandes, Teclado Iluminado, Volumen Alto, Linterna, Fm, Resistente, 1800mah, Naranja",738.0,1039.0,29,Envío desde USA,3,1,https://www.mercadolibre.com.mx/uleway-telefono-movil-para-adultos-mayores-4g-lte-boton-sos-botones-grandes-teclado-iluminado-volumen-alto-linterna-fm-resistente-1800mah-naranja/p/MLM60956435,Celulares,2026-02-20 15:00:49
Cubot KingKong 9 Dual SIM 256 GB Negro 12 GB RAM,4300.0,5796.0,26,,15,0,https://www.mercadolibre.com.mx/cubot-kingkong-9-dual-sim-256-gb-negro-12-gb-ram/p/MLM24455243,Celulares,2026-02-20 15:00:49
Nubia Z70 Ultra Dual SIM 512 GB oro 16 GB RAM,12220.0,,0,,15,0,https://www.mercadolibre.com.mx/nubia-z70-ultra-dual-sim-512-gb-oro-16-gb-ram/p/MLM44743135,Celulares,2026-02-20 15:00:49
Celular Motorola Moto S50 Neo / G85 5g 256 Gb 12 Gb Ram Color Gris,3768.0,4116.0,8,,15,0,https://www.mercadolibre.com.mx/celular-motorola-moto-s50-neo-g85-5g-256-gb-12-gb-ram-color-gris/p/MLM53538433,Celulares,2026-02-20 15:00:49
Celular Motorola Edge 60 Fusion 5g 256gb y 8gb de Ram Expande 20gb color Azul,4991.0,8999.0,45,,15,0,https://www.mercadolibre.com.mx/celular-motorola-edge-60-fusion-5g-256gb-y-8gb-de-ram-expande-20gb-color-azul/p/MLM50127383,Celulares,2026-02-20 15:00:49
Teléfono celular Samsung Galaxy A16 5G 128 GB 4 GB de RAM Cámara de 50 MP NFC Gris,2549.0,3999.0,36,,3,0,https://www.mercadolibre.com.mx/telefono-celular-samsung-galaxy-a16-5g-128-gb-4-gb-de-ram-camara-de-50-mp-nfc-gris/p/MLM44114104,Celulares,2026-02-20 15:00:49
Moto E15 Dual SIM 64 GB azul acero 2 GB RAM,1439.0,1998.0,28,,3,0,https://www.mercadolibre.com.mx/moto-e15-dual-sim-64-gb-azul-acero-2-gb-ram/p/MLM49750290,Celulares,2026-02-20 15:00:49
Motorola Moto G24 256 Gb Azul 4 Gb Ram,2219.0,2428.0,9,,24,0,https://www.mercadolibre.com.mx/motorola-moto-g24-256-gb-azul-4-gb-ram/p/MLM55967591,Celulares,2026-02-20 15:00:49
Celular Vivo Y28 Negro 256gb + 8gb Ram | Batería 6000mah | Cámara 50mp | Carga Rápida 44w | Ip64 | Android 14,3999.0,6299.0,37,,15,0,https://www.mercadolibre.com.mx/celular-vivo-y28-negro-256gb-8gb-ram-bateria-6000mah-camara-50mp-carga-rapida-44w-ip64-android-14/p/MLM60948980,Celulares,2026-02-20 15:00:49
