nombre,precio_actual,precio_anterior,descuento_porcentaje,ubicacion_vendedor,cuotas,envio_gratis,enlace,categoria,fecha_extraccion
"Smart TV Onn Roku 32"" HD LED Wi-Fi Netflix 3 HDMI USB",2339.0,3599.0,35,,15,0,https://www.mercadolibre.com.mx/smart-tv-onn-roku-32-hd-led-wi-fi-netflix-3-hdmi-usb/p/MLM15588420,Televisores,2026-02-20 15:00:52
Pantalla Samsung Crystal 4k Ultra Hd De 50 Pulgadas Clase U8000fb Smart Tizen Tv,6599.0,8000.0,18,,15,1,https://www.mercadolibre.com.mx/pantalla-samsung-crystal-4k-ultra-hd-de-50-pulgadas-clase-u8000fb-smart-tizen-tv/p/MLM64189960,Televisores,2026-02-20 15:00:52
Televisión Digital Portátil Para Auto Batería Recargable 9 Pulgadas Hdmi 3.5mm Usb Tarjeta de Memoria Dbugg Mt-901,1799.0,,0,,9,1,https://www.mercadolibre.com.mx/television-digital-portatil-para-auto-bateria-recargable-9-pulgadas-hdmi-35mm-usb-tarjeta-de-memoria-dbugg-mt-901/p/MLM28451330,Televisores,2026-02-20 15:00:52
Smarttv Pantalla 40 Daewoo Hd Streaming Roku Tv Led Hdmi,4699.0,,0,,15,1,https://www.mercadolibre.com.mx/smarttv-pantalla-40-daewoo-hd-streaming-roku-tv-led-hdmi/p/MLM42362326,Televisores,2026-02-20 15:00:52
"Smart Tv Acer 55 Pulgadas Pantalla 4k Qled Google Tv Con Dolby Audio, Asistente De Google, Televisión, Bluetooth, Hdmi, Wi-fi, Hdr, Control Por Voz Y Soporte De Pared Incluido",6799.0,9999.0,32,,15,0,https://www.mercadolibre.com.mx/smart-tv-acer-55-pulgadas-pantalla-4k-qled-google-tv-con-dolby-audio-asistente-de-google-television-bluetooth-hdmi-wi-fi-hdr-control-por-voz-y-soporte-de-pared-incluido/p/MLM61393993,Televisores,2026-02-20 15:00:52
Smart Tv Pantalla Weyon 43 Pulgadas Full Hd Android Tv Hdmi/Usb 60Hz 43wdsnmx,3099.0,6199.0,50,,3,0,https://www.mercadolibre.com.mx/smart-tv-pantalla-weyon-43-pulgadas-full-hd-android-tv-hdmiusb-60hz-43wdsnmx/p/MLM23315049,Televisores,2026-02-20 15:00:52
"Smart TV Motorola MOT32HLE11 32"" HD DLED color negro",2661.0,4199.0,37,,15,0,https://www.mercadolibre.com.mx/smart-tv-motorola-mot32hle11-32-hd-dled-color-negro/p/MLM28511887,Televisores,2026-02-20 15:00:52
Pantalla Samsung 43 Pulgadas Qled 4k Vision Ai Smart Tv,13994.0,,0,,15,1,https://www.mercadolibre.com.mx/pantalla-samsung-43-pulgadas-qled-4k-vision-ai-smart-tv/up/MLMU3763433400,Televisores,2026-02-20 15:00:52
"Pantalla 32 Pulgadas LG Smart Tv Ai 2025 32lr600bpsc, Sistema Operativo Webos, Hdr10 / HLG, LG Channels, Game Optimizer",3090.0,5999.0,48,,6,0,https://www.mercadolibre.com.mx/pantalla-32-pulgadas-lg-smart-tv-ai-2025-32lr600bpsc-sistema-operativo-webos-hdr10-hlg-lg-channels-game-optimizer/p/MLM60384396,Televisores,2026-02-20 15:00:52
Smart Tv Hisense 32 Led Fhd 1080p Smart Roku Tv (2024),2899.0,3199.0,9,,15,0,https://www.mercadolibre.com.mx/smart-tv-hisense-32-led-fhd-1080p-smart-roku-tv-2024/p/MLM44154663,Televisores,2026-02-20 15:00:52
